,discription,rmse_train,f1_train,rmse_test,f1_test,lr,reg,iter,dep
0,train,0.8452280641042067,0.6499900548671087,0.8250019831802279,0.600992042395551,0.05,20,300,5
1,train + FE,0.544924977809834,0.8387371753284375,0.7052532870911553,0.6477085050936292,0.05,20,1000,5
2,train + OUTL,0.7686259869787637,0.7214251310221597,0.8478908649814072,0.6008070689000921,0.05,10,500,5
3,train + EMB10(rand),0.7580715593418403,0.7268410928447305,0.9080789226950112,0.5442610860240824,0.05,20,500,4
4,train + EMB4(dist_discr),0.8098735682231828,0.6733164783737081,0.8652693797173454,0.5874459946523858,0.05,10,300,4
5,train + EMB10(approc),0.7891181303079952,0.6944238921174526,0.8728001516452905,0.5840526408581305,0.05,10,300,4
6,train + EMB10(sort_dist),0.8316868742312571,0.6725132202806525,0.8757943290557908,0.5796198530617785,0.05,20,300,4
7,train + EMB25(approc),0.7946326497413345,0.7172749580909985,0.8622386545395648,0.5789239152177785,0.05,10,300,5
8,train + EMB16(approc),0.7762860860122668,0.7351625880925755,0.848466433017898,0.6045766367324871,0.05,10,500,4
9,train + EMB21(approc),0.8147118868135433,0.7040751742504623,0.8576724865826335,0.5940551378446115,0.05,20,500,4
10,train + EMB5(sort_dist),0.5118678868853311,0.8792678078052207,0.8772875856031493,0.5822854595117071,0.1,10,500,5
11,train + EMB16(sort_dist),0.7660937040067469,0.7472169230306808,0.848466433017898,0.6035520770620109,0.05,35,1000,4
12,train + FE + EMB16(sort_dist),0.4801746407188947,0.8727197352028588,0.7325634543571539,0.6549705665930832,0.1,35,1000,4
13,train + FE + EMB16(approc),0.3691131824856925,0.928021654053658,0.7467205789561777,0.6378246440160147,0.05,4,1000,4
14,train + FE + EMB16(sort_dist)2,0.4882908432463722,0.8700492991733713,0.7181272911418438,0.6372351914082888,0.05,10,1000,4
15,"train + FE + DEALS(rmse, n=0.8)",0.3953882620023736,0.8609828063865812,0.6787731464143184,0.6298940268114276,0.1,35,500,5
16,"train + FE + DEALS(mae, n=0.8)",0.8472921161742297,0.5565121004688051,0.9640121221892124,0.4480352808283571,0.1,35,300,4
17,"train + FE + DEALS(rmse, n=1.5)",0.4891843313554391,0.7789598700910071,0.7052532870911553,0.5902471629390914,0.1,35,500,5
18,"train + FE + DEALS(rmse, n=0.5)",0.5536697737285388,0.7189583075714288,0.7015316078828087,0.5901656403771061,0.05,15,300,5
19,train + FE + EMB16(sort_dist)3,0.5560308495729853,0.8244541484716157,0.7271834785790479,0.6413612565445026,0.1,35,500,5
